class,alpha,transform,category,relative_error,cosine_similarity
apple,1.9,translation_y10,translation,0.006012841511566213,0.999981928164779
apple,1.9,rotation_10,rotation,0.03560514815577524,0.99936612612471
apple,1.9,rotation_20,rotation,0.05419522532265276,0.9985359255995375
apple,1.9,scale_0.8,scale,1.2433590782590889,0.5348633874790052
apple,1.9,scale_1.2,scale,0.3106727431878359,0.9832427389034419
apple,2.0,translation_x10,translation,0.008723316208882174,0.9999757536514421
apple,2.0,translation_y10,translation,0.007959381546211744,0.9999683243162963
apple,2.0,rotation_10,rotation,0.1073056776960945,0.9943293327948914
apple,2.0,rotation_20,rotation,0.05369416889702927,0.9985617262943542
apple,2.0,scale_0.8,scale,25.63868689012075,0.06633670605120787
apple,2.0,scale_1.2,scale,0.3457650054980312,0.9797088530704449
bird,0.6,translation_x10,translation,0.17109895249496546,0.9859977343028978
bird,0.6,translation_y10,translation,0.20189018223442023,0.9800805225098935
bird,0.6,rotation_10,rotation,0.24510374411368738,0.9705673200249009
bird,0.6,rotation_20,rotation,0.3871744968382156,0.9253105446734475
bird,0.6,scale_0.8,scale,115.18661690870208,0.035538548584739774
bird,0.6,scale_1.2,scale,0.24563601172415653,0.971940211190946
bird,0.7,translation_x10,translation,0.0644938411596258,0.9979191195823536
bird,0.7,translation_y10,translation,0.11785635607648337,0.9930322781783292
bird,0.7,rotation_10,rotation,0.2746445456095766,0.9615537858085552
bird,0.7,rotation_20,rotation,0.4878829494588838,0.8762442839586414
bird,0.7,scale_0.8,scale,11.610634327799914,0.08242870101298053
bird,0.7,scale_1.2,scale,0.1901560636883995,0.9819553835429462
bird,0.8,translation_x10,translation,0.05777332254264336,0.9983322917716764
bird,0.8,translation_y10,translation,0.09367830792119879,0.9956383974321421
bird,0.8,rotation_10,rotation,0.31879111302297963,0.9479803951608797
bird,0.8,rotation_20,rotation,0.4839720983402685,0.8798192932101345
bird,0.8,scale_0.8,scale,0.229003379627517,0.9738613804671328
bird,0.8,scale_1.2,scale,0.17711044031832585,0.9842043347295679
bird,0.9,translation_x10,translation,0.057633730886160674,0.9983400167211663
bird,0.9,translation_y10,translation,0.10695558764356734,0.9943275511535137
bird,0.9,rotation_10,rotation,0.29627085173898454,0.9557557098805025
bird,0.9,rotation_20,rotation,0.40817774512230703,0.9164582828249552
bird,0.9,scale_0.8,scale,0.13096938514712067,0.9914288950796822
bird,0.9,scale_1.2,scale,0.1653840661694842,0.9862590076651003
bird,1.0,translation_x10,translation,0.05854332794098992,0.998294911791826
bird,1.0,translation_y10,translation,0.10574021008571641,0.9944470537279454
bird,1.0,rotation_10,rotation,0.23991366588561358,0.9712128452821408
bird,1.0,rotation_20,rotation,0.35745322808392177,0.9363245080693929
bird,1.0,scale_0.8,scale,0.12877736983869548,0.9916956574908341
bird,1.0,scale_1.2,scale,0.15789195752110938,0.9874997178525208
bird,1.1,translation_x10,translation,0.05699071062705493,0.99838067544901
bird,1.1,translation_y10,translation,0.1045471910281006,0.9945645958360401
bird,1.1,rotation_10,rotation,0.22216574194903144,0.9752539710627397
bird,1.1,rotation_20,rotation,0.3641227889611095,0.9344318009580078
bird,1.1,scale_0.8,scale,0.19016224766374684,0.9818620741470429
bird,1.1,scale_1.2,scale,0.167032225085601,0.9860469001981665
bird,1.2,translation_x10,translation,0.0542651474470399,0.9985269338582029
bird,1.2,translation_y10,translation,0.10213028257092524,0.9947895364635785
bird,1.2,rotation_10,rotation,0.2283234243397814,0.9739668728647058
bird,1.2,rotation_20,rotation,0.3756495082902704,0.9314293083555734
bird,1.2,scale_0.8,scale,0.22556478112373907,0.9746211632578777
bird,1.2,scale_1.2,scale,0.17947699120627209,0.9839158251456108
bird,1.3,translation_x10,translation,0.09151922941767665,0.9958147045360538
bird,1.3,translation_y10,translation,0.12590421132353766,0.9920511943961646
bird,1.3,rotation_10,rotation,0.4419391429783158,0.9101603984370983
bird,1.3,rotation_20,rotation,0.9065390246242836,0.7271042725215305
bird,1.3,scale_0.8,scale,0.21981926505718835,0.9755413543830764
bird,1.3,scale_1.2,scale,0.20042955914454286,0.9799685328834243
bird,1.4,translation_x10,translation,0.8606803483360645,0.5092036908037453
bird,1.4,translation_y10,translation,0.8628340670709201,0.5054881996985366
bird,1.4,rotation_10,rotation,3.1475649098670573,-0.018376429067758267
bird,1.4,rotation_20,rotation,6.201917920014544,0.07536994603589713
bird,1.4,scale_0.8,scale,0.8652263269543582,0.5016928684297811
bird,1.4,scale_1.2,scale,0.8620141737802909,0.5071037038743107
bird,1.5,translation_x10,translation,0.9814300841688803,0.3081456182308023
bird,1.5,translation_y10,translation,0.9982408214991801,0.059289648988518094
bird,1.5,rotation_10,rotation,3.284565179189524,-0.08945021393108654
bird,1.5,rotation_20,rotation,6.405224778622122,-0.01432865502197046
bird,1.5,scale_0.8,scale,0.995150900778886,0.09923907616528271
bird,1.5,scale_1.2,scale,0.9976804944031353,0.0683186556857554
bird,1.6,translation_x10,translation,0.9715501426404952,0.2978987766738464
bird,1.6,translation_y10,translation,0.9998149510662768,0.021955627856941537
bird,1.6,rotation_10,rotation,3.021999138919342,-0.06400571840128073
bird,1.6,rotation_20,rotation,6.051601954281996,-0.07381106480124448
bird,1.6,scale_0.8,scale,1.0605150489894868,0.016477931479266336
bird,1.6,scale_1.2,scale,0.9998476235847923,0.021627834114883473
bird,1.7,translation_x10,translation,2.1826036156117192,0.1403911916911966
bird,1.7,translation_y10,translation,0.9997204442506424,0.026769977981737553
bird,1.7,rotation_10,rotation,2.7525183687396186,-0.009080343641308719
bird,1.7,rotation_20,rotation,5.768077928160921,-0.11812672837960234
bird,1.7,scale_0.8,scale,103.53477769998985,0.13134643287734804
bird,1.7,scale_1.2,scale,0.9999774592016422,0.015756566108007658
bird,1.8,translation_x10,translation,22.68982680015277,0.18919432843343834
bird,1.8,translation_y10,translation,0.9985818371757024,0.08355240406019845
bird,1.8,rotation_10,rotation,2.547421601889816,0.1003436172832287
bird,1.8,rotation_20,rotation,5.740549595993954,-0.1489821075472393
bird,1.8,scale_0.8,scale,4535.139688883171,0.20415505695519282
bird,1.8,scale_1.2,scale,0.9999957563492395,0.014214689702994651
bird,1.9,translation_x10,translation,195.29989273769752,0.20326360398151658
bird,1.9,translation_y10,translation,0.9954593822478042,0.19680459048164148
bird,1.9,rotation_10,rotation,2.51761485511627,0.26746009206022164
bird,1.9,rotation_20,rotation,6.254838495244002,-0.14134632865082605
bird,1.9,scale_0.8,scale,104721.90739260183,0.1944193628149469
bird,1.9,scale_1.2,scale,0.9999990078334109,0.013505420899119578
bird,2.0,translation_x10,translation,387.9292720755033,0.9353087547837677
bird,2.0,translation_y10,translation,0.9990002362037588,0.12263870933518402
bird,2.0,rotation_10,rotation,1.2963280830703499,-0.004643830288952134
bird,2.0,rotation_20,rotation,2.131022468399094,0.08353373574682363
bird,2.0,scale_0.8,scale,485695.99824781786,0.8918582684172844
bird,2.0,scale_1.2,scale,0.9999999607879095,0.006818732983590777
elephant,0.6,translation_x10,translation,0.018103261112371868,0.9998387862464971
elephant,0.6,translation_y10,translation,0.015570858096784585,0.9998788188836994
elephant,0.6,rotation_10,rotation,0.2411922112125917,0.9708283243367108
elephant,0.6,rotation_20,rotation,0.29997930267817374,0.9540261441423455
elephant,0.6,scale_0.8,scale,0.3050191765710832,0.9534688102478599
elephant,0.6,scale_1.2,scale,0.27357590633866713,0.9682906521824701
elephant,0.7,translation_x10,translation,0.014256446889922796,0.9998983720820638
elephant,0.7,translation_y10,translation,0.012907707827629447,0.9999175391347035
elephant,0.7,rotation_10,rotation,0.1793700796710375,0.9837824183004673
elephant,0.7,rotation_20,rotation,0.3175881383427991,0.9486722010919589
elephant,0.7,scale_0.8,scale,0.2176672260970085,0.9763071782425635
elephant,0.7,scale_1.2,scale,0.21601569870993106,0.9790849738072108
elephant,0.8,translation_x10,translation,0.013247919132902563,0.9999122494971754
